"rules","support","confidence","lift","count"
"{VIC_TRABAJA=1} => {VIC_DEDICA=NA}",0.384031249146385,1,2.5949106889708,14059
"{VIC_DEDICA=NA} => {VIC_TRABAJA=1}",0.384031249146385,0.996526793308761,2.5949106889708,14059
"{VIC_GRUPET=1,VIC_TRABAJA=1} => {VIC_DEDICA=NA}",0.258679559671119,1,2.5949106889708,9470
"{VIC_GRUPET=1,VIC_DEDICA=NA} => {VIC_TRABAJA=1}",0.258679559671119,0.995689201976659,2.5927296390329,9470
"{VIC_EST_CIV=2,VIC_TRABAJA=2} => {VIC_DEDICA=1}",0.202545822065612,0.94242501270971,1.7181035451566,7415
"{VIC_DEDICA=1} => {VIC_TRABAJA=2}",0.548526318664809,1,1.66745616032794,20081
"{VIC_TRABAJA=2} => {VIC_DEDICA=1}",0.548526318664809,0.914643589159645,1.66745616032794,20081
"{VIC_GRUPET=1,VIC_DEDICA=1} => {VIC_TRABAJA=2}",0.280859897839329,1,1.66745616032794,10282
"{VIC_EST_CIV=2,VIC_DEDICA=1} => {VIC_TRABAJA=2}",0.202545822065612,1,1.66745616032794,7415
"{VIC_GRUPET=1,VIC_TRABAJA=2} => {VIC_DEDICA=1}",0.280859897839329,0.88913870632999,1.62095906080547,10282
"{VIC_DEDICA=NA} => {VIC_GRUPET=1}",0.259799502854489,0.674156506946413,1.15069915902654,9511
"{VIC_TRABAJA=1} => {VIC_GRUPET=1}",0.258679559671119,0.673589871256846,1.14973198418696,9470
"{VIC_TRABAJA=1,VIC_DEDICA=NA} => {VIC_GRUPET=1}",0.258679559671119,0.673589871256846,1.14973198418696,9470
"{VIC_EST_CIV=9} => {VIC_GRUPET=1}",0.203720396623781,0.673165448145139,1.14900754807653,7457
"{} => {VIC_TRABAJA=2}",0.599715916851048,0.599715916851048,1,21955
"{} => {VIC_GRUPET=1}",0.585866863339616,0.585866863339616,1,21448
"{} => {VIC_DEDICA=1}",0.548526318664809,0.548526318664809,1,20081
"{VIC_EST_CIV=2} => {VIC_DEDICA=1}",0.202545822065612,0.545943160064792,0.995290729884565,7415
"{VIC_EST_CIV=2} => {VIC_TRABAJA=2}",0.214919828457483,0.579296127227212,0.965950895999136,7868
"{VIC_EST_CIV=2} => {VIC_GRUPET=1}",0.207326067360485,0.558827860403475,0.953847871200617,7590
"{VIC_GRUPET=1} => {VIC_TRABAJA=2}",0.315878609085198,0.539164490861619,0.899033151717285,11563
"{VIC_TRABAJA=2} => {VIC_GRUPET=1}",0.315878609085198,0.526713732634935,0.899033151717285,11563
"{VIC_TRABAJA=2,VIC_DEDICA=1} => {VIC_GRUPET=1}",0.280859897839329,0.512026293511279,0.873963566726708,10282
"{VIC_DEDICA=1} => {VIC_GRUPET=1}",0.280859897839329,0.512026293511279,0.873963566726708,10282
