"HEC_MES","HEC_DEPTO","VIC_EDAD","VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_GRUPET","VIC_TRABAJA","VIC_DEDICA","AGR_EDAD","AGR_ESCOLARIDAD","cluster"
11,1,55,10,2,2,2,1,11,10,1
3,2,58,29,2,1,1,-1,12,99,2
99,1,33,29,1,1,2,1,12,99,2
3,2,58,39,2,1,2,1,12,99,2
7,7,57,10,3,2,2,1,12,25,1
4,11,33,23,1,1,1,-1,12,26,1
9,11,32,10,9,1,2,1,12,23,1
6,16,30,59,2,2,1,-1,12,99,2
10,22,65,10,4,1,2,1,13,39,3
9,11,6,-1,-1,1,-1,-1,13,32,1
2,11,7,10,-1,1,2,9,13,26,1
2,11,7,21,-1,1,2,3,13,31,1
4,1,52,39,2,1,1,-1,13,99,2
3,19,68,99,2,1,1,-1,13,99,2
1,14,49,21,2,2,2,1,14,21,1
9,1,55,39,1,1,1,-1,14,39,1
12,16,37,56,1,2,1,-1,14,32,1
11,11,6,-1,-1,1,-1,-1,14,32,1
11,10,16,32,1,6,2,3,14,26,1
6,11,36,26,2,1,2,1,14,23,1
2,16,62,10,3,2,2,6,14,33,1
8,16,36,46,3,1,2,1,14,31,1
11,1,52,49,1,1,1,-1,14,99,2
8,16,44,10,3,2,2,1,14,10,1
8,4,59,49,2,1,1,-1,14,99,2
6,3,9,99,-1,6,2,3,14,99,2
7,8,35,49,2,2,1,-1,14,99,2
7,1,36,99,1,9,1,-1,15,99,2
8,3,37,10,1,2,1,-1,15,10,1
11,15,42,26,2,1,1,-1,15,26,1
10,14,24,10,1,1,2,9,15,99,1
2,22,30,26,1,2,2,1,15,26,1
10,6,35,26,1,1,2,1,15,26,1
11,20,40,29,1,6,2,1,15,29,1
6,9,32,33,1,1,2,1,15,23,1
12,1,29,49,9,1,2,1,15,49,1
6,11,21,33,1,1,1,-1,15,33,1
10,11,3,-1,-1,1,-1,-1,15,33,1
4,11,5,-1,-1,1,-1,-1,15,32,1
5,16,23,26,1,2,2,1,15,26,1
4,11,13,26,1,1,2,3,15,33,1
2,14,39,21,2,2,2,1,15,21,1
9,10,43,26,2,1,2,1,15,32,1
2,16,30,21,3,2,2,1,15,21,1
1,16,35,23,3,1,2,1,15,25,1
8,1,66,10,2,2,1,-1,15,32,3
5,16,15,26,3,1,2,1,15,25,1
1,16,16,10,3,2,1,-1,15,26,1
4,3,28,10,9,2,1,-1,15,10,1
9,12,36,22,1,1,2,1,15,21,1
10,2,42,29,9,1,2,1,15,29,1
10,2,19,39,9,1,1,-1,15,29,1
8,13,19,29,9,2,1,-1,15,29,1
11,2,45,39,2,1,2,1,15,39,1
5,12,31,29,9,1,2,1,15,39,1
10,15,18,23,9,2,1,-1,15,26,1
2,11,39,22,9,1,2,1,16,10,1
7,1,33,99,1,1,1,-1,16,99,2
3,1,57,10,1,1,2,1,16,39,1
5,2,41,10,1,1,2,1,16,39,1
1,1,18,39,1,1,2,1,16,29,1
11,13,46,10,2,2,2,1,16,29,1
7,19,38,10,2,1,2,1,16,45,1
3,13,83,10,2,2,2,1,16,10,3
8,6,28,26,2,1,2,1,16,26,1
8,9,19,26,3,2,2,1,16,32,1
3,19,34,24,9,1,2,1,16,26,1
5,22,13,39,9,6,2,3,16,33,1
8,9,45,56,1,1,1,-1,16,33,1
1,18,42,46,5,1,1,-1,16,33,1
9,15,34,45,2,2,2,1,16,32,1
8,4,15,23,1,6,2,3,16,23,1
9,21,14,32,1,1,2,3,16,26,1
7,3,15,32,1,1,2,3,16,33,1
5,11,15,33,1,1,2,3,16,33,1
11,16,54,46,2,2,2,2,16,44,1
6,16,26,10,3,2,2,1,16,25,1
9,16,52,10,9,2,2,1,16,26,1
11,14,53,21,9,2,2,1,16,21,1
2,14,37,46,1,1,1,-1,16,31,1
11,2,49,26,9,1,1,-1,16,49,1
8,1,48,10,3,2,1,-1,16,31,1
8,15,33,10,1,1,1,-1,16,10,1
5,11,53,10,9,1,1,-1,16,32,1
9,1,21,26,1,1,1,-1,16,99,2
7,9,16,26,3,1,2,1,16,26,1
1,16,15,26,3,2,2,1,16,10,1
8,16,16,26,3,2,2,1,16,26,1
2,8,17,29,3,2,2,1,16,29,1
7,4,16,33,3,6,2,1,16,26,1
8,3,16,22,3,2,1,-1,16,10,1
8,16,16,26,3,2,2,1,16,23,1
5,16,26,99,3,2,1,-1,16,33,1
7,16,27,99,3,2,1,-1,16,22,1
2,16,54,10,3,2,1,-1,16,25,1
8,16,24,99,3,2,1,-1,16,23,1
5,16,20,26,5,2,2,1,16,24,1
12,17,17,32,5,1,2,1,16,24,1
3,17,17,23,5,2,2,1,16,23,1
8,18,38,26,5,1,2,1,16,26,1
2,3,39,26,2,2,2,1,16,26,1
2,3,39,26,2,2,2,1,16,26,1
2,3,39,26,2,2,2,1,16,26,1
2,3,39,26,2,2,2,1,16,26,1
2,3,23,26,9,2,2,1,16,26,1
2,3,23,26,9,2,2,1,16,26,1
2,3,23,26,9,2,2,1,16,26,1
7,22,35,10,1,1,2,1,16,29,1
1,12,33,45,2,6,2,1,16,45,1
8,4,15,21,9,2,2,1,16,25,1
7,12,14,26,9,6,2,1,16,44,1
10,9,16,26,9,2,2,1,16,26,1
9,22,18,32,9,6,2,3,16,26,1
3,3,18,99,9,2,2,1,16,99,2
9,9,41,44,2,2,1,-1,16,39,1
8,1,21,33,9,1,1,-1,16,26,1
8,19,47,49,9,1,1,-1,16,39,1
8,12,18,44,9,1,1,-1,16,31,1
11,8,22,29,2,2,1,-1,16,39,1
9,1,19,39,9,2,1,-1,16,29,1
7,21,18,33,9,1,2,1,16,26,1
3,99,53,25,3,1,1,-1,17,32,1
12,11,52,10,9,1,2,2,17,33,1
1,1,11,29,-1,1,2,3,17,29,1
2,3,23,22,1,6,2,1,17,99,2
6,3,31,24,1,2,2,9,17,10,1
10,22,24,26,1,6,2,1,17,32,1
5,22,35,26,1,6,2,1,17,32,1
10,3,14,29,1,1,2,3,17,29,1
10,4,16,31,1,2,2,1,17,10,1
3,3,22,44,1,6,2,3,17,33,1
6,10,22,49,1,6,2,1,17,39,1
3,2,17,49,1,1,2,3,17,49,1
1,22,74,10,2,1,2,2,17,26,3
8,9,35,22,2,2,2,1,17,33,1
1,22,44,26,2,1,2,1,17,33,1
8,8,37,29,2,2,2,1,17,49,1
12,2,66,29,2,1,2,1,17,29,1
5,9,44,99,2,2,2,1,17,99,2
12,22,33,10,3,1,2,6,17,29,1
11,3,35,59,3,1,2,1,17,49,1
12,1,48,49,2,1,1,-1,17,49,1
99,1,28,56,2,1,1,-1,17,46,1
8,15,43,23,2,6,1,-1,17,23,1
12,10,56,29,2,1,1,-1,17,29,1
1,10,49,49,2,2,1,-1,17,39,1
10,9,49,10,5,2,1,-1,17,22,1
9,1,57,29,2,1,1,-1,17,39,1
11,16,79,21,2,1,1,-1,17,26,3
6,13,40,23,2,1,2,1,17,23,1
6,16,34,10,3,2,2,1,17,26,1
6,16,18,24,3,2,2,1,17,24,1
5,11,13,26,1,1,2,3,17,33,1
5,6,24,26,1,1,2,1,17,33,1
10,1,63,26,1,1,2,1,17,33,1
3,9,13,31,1,1,2,3,17,26,1
5,16,71,10,2,2,2,1,17,26,3
12,16,61,10,2,2,2,9,17,26,3
1,18,70,33,2,1,2,2,17,33,1
6,16,36,10,3,2,2,1,17,31,1
8,16,61,10,3,2,2,1,17,49,1
5,16,36,26,3,2,2,1,17,33,1
6,14,36,46,2,1,1,-1,17,33,1
9,16,40,23,3,2,1,-1,17,26,1
2,16,55,26,9,2,1,-1,17,32,1
99,16,79,33,3,2,1,-1,17,10,3
4,3,61,23,9,1,1,-1,17,25,1
8,16,77,21,4,2,1,-1,17,26,3
4,18,30,45,5,1,1,-1,17,26,1
3,11,26,31,9,1,1,-1,17,32,1
2,16,37,46,3,2,1,-1,17,44,1
8,16,26,46,3,2,1,-1,17,45,1
5,12,36,10,2,1,2,1,17,10,1
12,4,17,23,3,2,2,1,17,26,1
8,4,16,26,3,2,2,1,17,26,1
5,22,27,44,3,1,1,-1,17,26,1
8,9,36,46,2,2,2,1,17,46,1
9,16,40,10,3,2,2,1,17,10,1
5,16,49,10,3,2,2,1,17,26,1
5,16,19,10,3,2,2,1,17,24,1
8,16,15,10,3,2,2,1,17,10,1
5,16,16,10,3,2,2,1,17,26,1
8,16,13,10,3,2,2,1,17,33,1
12,17,14,22,3,2,2,1,17,22,1
7,17,13,22,3,2,2,3,17,31,1
7,14,15,23,3,1,2,1,17,26,1
7,16,23,26,3,2,2,1,17,21,1
2,9,16,26,3,1,2,1,17,26,1
4,16,16,26,3,2,2,1,17,33,1
12,16,17,26,3,2,2,1,17,26,1
11,16,31,26,3,2,2,1,17,26,1
5,17,17,31,3,2,2,1,17,26,1
6,4,23,33,3,2,2,1,17,26,1
5,16,19,26,3,1,1,-1,17,10,1
11,16,18,26,3,2,1,-1,17,26,1
4,15,18,29,3,2,1,-1,17,29,1
11,16,27,33,1,2,9,9,17,23,1
5,16,18,33,5,2,2,1,17,33,1
9,3,17,23,9,1,1,-1,17,23,1
9,1,24,99,9,9,2,1,17,99,2
12,16,99,49,1,6,2,3,17,99,2
1,2,48,49,2,1,2,1,17,39,1
1,10,15,10,9,6,2,1,17,10,1
6,9,13,10,9,2,2,1,17,99,1
3,12,59,10,9,1,2,1,17,32,1
10,22,20,23,9,1,2,1,17,23,1
10,1,22,29,9,1,2,1,17,29,1
7,8,15,29,9,2,2,1,17,29,1
