"TIPO_BINARIO","GAP_EDAD","TIPO_RELACION","HEC_AREA","VIC_SEXO","AGR_SEXO","VIC_TRABAJA","AGR_TRABAJA","HEC_DEPTO","VIC_GRUPET","Prediccion"
"PSICO_PATRIMONIAL",-21,"Familia","2","1","2","1","1","11","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-22,"Familia","1","2","2","2","2","16","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-45,"Familia","1","1","2","1","1","4","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-15,"Familia","2","2","1","2","2","22","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-25,"Familia","2","2","1","2","2","20","6","FISICA_CONTACTO"
"FISICA_CONTACTO",-28,"Familia","1","2","1","2","2","10","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-41,"Familia","1","1","1","2","2","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-22,"Familia","2","2","2","2","2","19","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-12,"Familia","2","2","1","2","2","6","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-26,"Familia","1","1","1","1","2","18","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",1,"Familia","2","2","1","2","2","11","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-21,"Familia","1","1","1","1","2","14","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-32,"Familia","1","2","1","1","2","1","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-1,"Pareja","2","2","1","2","1","8","2","FISICA_CONTACTO"
"FISICA_CONTACTO",0,"Pareja","1","2","1","1","2","3","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-10,"Pareja","1","1","2","1","2","16","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-1,"Pareja","1","2","1","2","2","17","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-49,"Familia","2","2","1","2","1","2","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-18,"Familia","1","2","1","2","2","3","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-26,"Familia","2","1","1","1","1","15","6","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-32,"Familia","1","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",1,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-55,"Familia","1","2","1","2","2","5","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-18,"Familia","1","2","1","2","2","5","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-39,"Familia","1","2","1","2","1","2","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-15,"Familia","2","2","1","2","1","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-49,"Familia","2","2","1","2","2","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-29,"Familia","2","2","1","2","1","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-45,"Familia","1","2","1","1","2","1","1","PSICO_PATRIMONIAL"
